0,Editor
1,Production Design
2,Sound Designer
3,Supervising Sound Editor
4,Casting
5,Original Music Composer
6,Director
7,Writer
8,Producer
9,Screenplay
10,Art Direction
11,Visual Effects Producer
12,Supervising Art Director
13,Music Editor
14,Sound Effects Editor
15,Foley
16,Costume Design
17,Set Decoration
18,Set Designer
19,Executive Producer
20,Director of Photography
21,Stunts
22,Makeup Artist
23,Hairstylist
24,Camera Operator
25,Visual Effects Supervisor
26,Visual Effects Editor
27,Dialect Coach
28,Motion Capture Artist
29,Stunt Coordinator
30,Steadicam Operator
31,Makeup Department Head
32,Post Production Supervisor
33,Costume Supervisor
34,Dialogue Editor
35,Transportation Coordinator
36,Art Department Coordinator
37,Assistant Art Director
38,Construction Coordinator
39,Sound Re-Recording Mixer
40,Choreographer
41,CG Supervisor
42,Digital Intermediate
43,Production Supervisor
44,Production Manager
45,Special Effects Coordinator
46,Best Boy Electric
47,Still Photographer
48,Lighting Technician
49,Animation Director
50,Set Costumer
51,Publicist
52,Conceptual Design
53,Visual Effects Art Director
54,Modeling
55,Art Department Manager
56,Lighting Artist
57,Music Supervisor
58,CGI Supervisor
59,Script Supervisor
60,Story
61,Characters
62,Co-Producer
63,Line Producer
64,Casting Associate
65,Makeup Effects
66,Orchestrator
67,Associate Producer
68,Key Hair Stylist
69,Visual Effects Coordinator
70,Greensman
71,Helicopter Camera
72,Wigmaker
73,ADR & Dubbing
74,First Assistant Editor
75,Makeup Designer
76,Gaffer
77,Hair Designer
78,Animation Supervisor
79,Additional Camera
80,Assistant Costume Designer
81,Carpenter
82,Property Master
83,Armorer
84,Researcher
85,Electrician
86,Rigging Grip
87,VFX Supervisor
88,Production Office Assistant
89,Sculptor
90,Leadman
91,Assistant Director
92,Painter
93,Construction Foreman
94,Sequence Supervisor
95,Unit Publicist
96,Scenic Artist
97,Camera Technician
98,Rigging Gaffer
99,Animation
100,Picture Car Coordinator
101,Location Manager
102,Assistant Editor
103,Grip
104,First Assistant Camera
105,Driver
106,Propmaker
107,Stunts Coordinator
108,Set Production Assistant
109,Camera Intern
110,Color Timer
111,Executive In Charge Of Production
112,Prosthetic Supervisor
113,Sound Mixer
114,Thanks
115,Key Makeup Artist
116,In Memory Of
117,Music
118,Original Story
119,ADR Voice Casting
120,Unit Production Manager
121,Storyboard Designer
122,Special Effects Supervisor
123,Casting Assistant
124,Art Department Assistant
125,Key Costumer
126,Production Coordinator
127,Boom Operator
128,Additional Editing
129,First Assistant Director
130,Second Assistant Director
131,Key Grip
132,Author
133,Location Scout
134,Title Designer
135,Novel
136,Songs
137,Co-Art Director
138,Executive Music Producer
139,Supervising Animator
140,Sound Editor
141,Visual Development
142,Layout
143,Executive In Charge Of Post Production
144,Lighting Supervisor
145,Technical Supervisor
146,Software Engineer
147,Second Unit Cinematographer
148,Underwater Camera
149,Compositors
150,Storyboard
151,Visual Effects
152,Production Sound Mixer
153,Graphic Novel Illustrator
154,VFX Editor
155,Seamstress
156,Hair Department Head
157,Sound mixer
158,Hair Setup
159,Special Effects
160,Comic Book
161,Additional Photography
162,Video Assist Operator
163,Translator
164,Studio Teachers
165,VFX Artist
166,Sound Recordist
