65731,Sam Worthington
8691,Zoe Saldana
10205,Sigourney Weaver
32747,Stephen Lang
17647,Michelle Rodriguez
1771,Giovanni Ribisi
59231,Joel David Moore
30485,CCH Pounder
15853,Wes Studi
10964,Laz Alonso
95697,Dileep Rao
98215,Matt Gerald
154153,Sean Anthony Moran
397312,Jason Whyte
42317,Scott Lawrence
986734,Kelly Kilgour
1207227,James Patrick Pitt
1180936,Sean Patrick Murphy
1019578,Peter Dillon
91443,Kevin Dorman
173391,Kelson Henderson
1207236,David Van Horn
215913,Jacob Tomuri
143206,Michael Blain-Rozgay
169676,Jon Curry
1048610,Luke Hawker
42288,Woody Schultz
68278,Peter Mensah
1207247,Sonia Yee
1207248,Jahnel Curfman
89714,Ilram Choi
1207249,Kyla Warren
1207250,Lisa Roumain
83105,Debra Wilson
1207253,Chris Mala
1207251,Taylor Kibby
1207252,Jodie Landau
1207254,Julie Lamm
1207257,Cullen B. Madden
1207259,Joseph Brady Madden
1207262,Frankie Torres
1158600,Austin Wilson
983705,Sara Wilson
1207263,Tamica Washington-Miller
1145098,Lucy Briant
33305,Nathan Meister
1207264,Gerry Blair
33311,Matthew Chamberlain
1207265,Paul Yates
1207266,Wray Wilson
54492,James Gaylyn
1207267,Melvin Leno Clark III
1207268,Carvon Futrell
1207269,Brandon Jelkes
1207270,Micah Moch
1207271,Hanniyah Muhammad
1207272,Christopher Nolen
1207273,Christa Oliver
1207274,April Marie Thomas
1207275,Bravita A. Threatt
1207276,Colin Bleasdale
107969,Mike Bodnar
1207278,Matt Clayton
147898,Nicole Dionne
1207280,Jamie Harrison
1207281,Allan Henry
1207282,Anthony Ingruber
1207283,Ashley Jeffery
98216,Dean Knowsley
1201399,Joseph Mika-Hunt
236696,Terry Notary
1207287,Kai Pantano
1207288,Logan Pithyou
1207289,Stuart Pollock
584868,Raja
1207290,Gareth Ruck
1062463,Rhian Sheehan
60656,T. J. Storm
1207291,Jodie Taylor
1186027,Alicia Vela-Bailey
1207292,Richard Whiteside
103259,Nikie Zambo
42286,Julene Renee
85,Johnny Depp
114,Orlando Bloom
116,Keira Knightley
1640,Stellan Skarsgård
1619,Chow Yun-fat
2440,Bill Nighy
118,Geoffrey Rush
1709,Jack Davenport
2449,Kevin McNally
2441,Tom Hollander
2038,Naomie Harris
378,Jonathan Pryce
1430,Keith Richards
1710,Lee Arenberg
1711,Mackenzie Crook
4031,Greg Ellis
1715,David Bailie
4030,Martin Klebba
939,David Schofield
2450,Lauren Maher
2452,Vanessa Branch
1714,Angus Barnett
1713,Giles New
22075,Reggie Lee
61259,Dominic Scott Kay
33500,Takayo Fischer
1224149,David Meunier
429401,Ho-Kwan Tse
1123,Andy Beckwith
1056117,Peter Donald Badalamenti II
21700,Christopher S. Capp
2603,Hakeem Kae-Kazim
70577,Ghassan Massoud
8784,Daniel Craig
27319,Christoph Waltz
121529,Léa Seydoux
5469,Ralph Fiennes
28782,Monica Bellucci
17064,Ben Whishaw
543530,Dave Bautista
125660,Andrew Scott
139549,Rory Kinnear
2244,Jesper Christensen
1381616,Alessandro Cremona
929937,Stephanie Sigman
87265,Tenoch Huerta
983710,Adriana Paz
1385592,Domenico Fortunato
1545546,Marco Zingaro
1545547,Stefano Elfi DiClaudia
122556,Ian Bonar
1599239,Tam Williams
1599241,Richard Banham
230681,Pip Carter
30446,Simon Lenagan
48377,Alessandro Bressanello
578512,Marc Zinga
1093974,Brigitte Millar
89624,Adel Bencherif
1129783,Gediminas Adomaitis
226388,Peppe Lanzetta
1299312,Francesco Arca
124628,Matteo Taranto
1562103,Emilio Aniba
1474616,Benito Sagredo
1247684,Dai Tabuchi
1599245,George Lasha
1599247,Sargon Yelda
1599251,Andy Cheung
1599252,Erick Hayden
1599253,Oleg Mirochnikov
123548,Antonio Salines
1599254,Miloud Mourad Benamara
1599255,Gido Schimanski
1404403,Nigel Barber
74415,Patrice Naiambana
1599256,Stephane Cornicard
1599257,Gary Fannin
1599258,Sadao Ueda
1599259,Phillip Law
1599260,Wai Wong
1477143,Joseph Balderrama
1599261,Eiji Mihara
1168129,Junichi Kajioka
48393,Victor Schefé
1437333,Harald Windisch
1599262,Tristan Matthiae
14637,Detlef Bothe
1599263,Bodo Friesecke
1599264,Wilhem Iben
1599265,Noemi Krausz
1599266,Noah Saavedra
1599267,Francis Attakpah
1599268,Michael Glantschnig
1599269,Marlon Boess
1599270,Marie Wohlmuth
1599271,Lili Epply
1599272,Konstantin Gerlach
1102369,Lara Parmiani
1372694,Umit Ulgen
1363060,Amra Mallassi
1599275,Ziad Abaza
1599276,Walid Mumuni
1599277,Derek Horsham
229320,Nari Blair-Mangat
1599278,Michael White
1599279,Adam McGrady
1436816,Nader Dernaika
1599280,Pezhmaan Alinia
5309,Judi Dench
1186597,Neve Gachev
1654739,Karl Farrer
1682535,Kim Adis
1682536,Maurisa Selene Coleman
1725801,Matija Mondi Matović
3894,Christian Bale
3895,Michael Caine
64,Gary Oldman
1813,Anne Hathaway
2524,Tom Hardy
8293,Marion Cotillard
24045,Joseph Gordon-Levitt
192,Morgan Freeman
2037,Cillian Murphy
36594,Juno Temple
3896,Liam Neeson
8654,Matthew Modine
16607,Alon Aboutboul
77335,Ben Mendelsohn
21316,Nestor Carbonell
928532,Josh Pence
71010,Tom Conti
125025,Joey King
211521,Warren Brown
10582,Daniel Sunjata
224365,Sam Kennard
1334307,Aliash Tepina
1334308,Nick Julian
1334309,Miranda Nolan
1172491,Claire Julien
49735,Aidan Gillen
39659,Burn Gorman
16841,Brett Cullen
159879,Joseph Lyle Taylor
8191,Chris Ellis
1240417,Duane Henry
1218818,James Harvey Ward
84754,Gonzalo Menendez
1473276,Cameron Jack
1364324,Lex Daniel
